Cool Approximation Results

 i        x        g(x)          ei     ei/ei-1
 1   0.0000000   1.0000000   0.7853982     Inf
 2   1.0000000   0.6988313   0.2146018   0.273
 3   0.6988313   0.8211025   0.0865668   0.403
 4   0.8211025   0.7706197   0.0357043   0.412
 5   0.7706197   0.7915189   0.0147785   0.414
 6   0.7915189   0.7828629   0.0061207   0.414
 7   0.7828629   0.7864483   0.0025352   0.414
 8   0.7864483   0.7849632   0.0010501   0.414
 9   0.7849632   0.7855783   0.0004350   0.414
10   0.7855783   0.7853235   0.0001802   0.414
11   0.7853235   0.7854291   0.0000746   0.414
12   0.7854291   0.7853854   0.0000309   0.414
13   0.7853854   0.7854035   0.0000128   0.414
14   0.7854035   0.7853960   0.0000053   0.414
15   0.7853960   0.7853991   0.0000022   0.414
16   0.7853991   0.7853978   0.0000009   0.414
17   0.7853978   0.7853983   0.0000004   0.414
18   0.7853983   0.7853981   0.0000002   0.414
19   0.7853981   0.7853982   0.0000001   0.414
20   0.7853982   0.7853982   0.0000000   0.414
